X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.65,1.8,3.33
0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.09,0.79,1.59
1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.39,0.36,2.06
0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.96,1.27,4.05
1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.16,2.16,6.0
0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.76,0.87,4.17
0.0,1.0,0.0,0.0,0.0,1.0,7.0,1.08,0.85,3.45
1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.26,0.47,0.9
0.0,1.0,0.0,1.0,0.0,0.0,9.0,2.53,1.08,3.65
1.0,0.0,0.0,1.0,0.0,0.0,10.0,2.76,3.1,5.06
1.0,0.0,0.0,1.0,0.0,0.0,11.0,1.07,0.64,1.95
0.0,1.0,0.0,1.0,0.0,0.0,12.0,1.42,1.08,1.22
1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.24,0.44,0.94
0.0,1.0,0.0,1.0,0.0,0.0,14.0,0.7,0.67,0.94
1.0,0.0,0.0,0.0,1.0,0.0,15.0,0.97,1.66,2.21
0.0,1.0,0.0,0.0,1.0,0.0,16.0,1.06,1.13,1.46
1.0,0.0,0.0,0.0,1.0,0.0,45.0,0.13,0.27,0.35
0.0,1.0,0.0,0.0,1.0,0.0,46.0,0.1,0.3,0.34
0.0,1.0,0.0,0.0,1.0,0.0,47.0,0.38,0.58,0.67
1.0,0.0,0.0,0.0,1.0,0.0,48.0,0.45,0.43,0.44
1.0,0.0,1.0,0.0,0.0,0.0,49.0,0.42,0.47,0.53
0.0,1.0,1.0,0.0,0.0,0.0,50.0,2.24,4.02,2.52
0.0,1.0,1.0,0.0,0.0,0.0,51.0,0.52,1.32,2.18
1.0,0.0,1.0,0.0,0.0,0.0,52.0,0.94,1.59,1.73
0.0,1.0,1.0,0.0,0.0,0.0,53.0,1.19,0.85,2.31
1.0,0.0,1.0,0.0,0.0,0.0,54.0,0.76,0.71,1.28
1.0,0.0,0.0,0.0,0.0,1.0,55.0,0.13,0.59,0.91
0.0,1.0,0.0,0.0,0.0,1.0,56.0,1.5,0.24,1.15
0.0,1.0,0.0,0.0,0.0,1.0,57.0,1.03,0.22,1.88
1.0,0.0,0.0,0.0,0.0,1.0,58.0,1.87,0.58,2.97
0.0,1.0,0.0,0.0,0.0,1.0,59.0,1.85,1.36,2.17
1.0,0.0,0.0,0.0,0.0,1.0,60.0,2.04,0.71,2.22
0.0,1.0,0.0,0.0,0.0,1.0,61.0,1.44,1.0,1.64
1.0,0.0,0.0,0.0,0.0,1.0,62.0,1.46,1.48,0.4
1.0,0.0,0.0,1.0,0.0,0.0,63.0,5.08,1.77,4.2
0.0,1.0,0.0,1.0,0.0,0.0,64.0,0.66,0.73,0.91
1.0,0.0,0.0,1.0,0.0,0.0,65.0,0.49,0.55,0.51
0.0,1.0,0.0,1.0,0.0,0.0,66.0,3.27,2.68,3.6
0.0,1.0,0.0,1.0,0.0,0.0,67.0,1.33,0.43,2.18
1.0,0.0,0.0,1.0,0.0,0.0,68.0,0.25,0.46,0.89
1.0,0.0,0.0,0.0,1.0,0.0,69.0,0.69,0.49,0.69
0.0,1.0,0.0,0.0,1.0,0.0,70.0,2.12,0.95,1.82
0.0,1.0,0.0,1.0,0.0,0.0,95.0,1.45,1.47,2.2
