method,fold,loss
linear_unreg,1,3.0313474223170305
linear_unreg,2,3.591161613174509
linear_unreg,3,2.937465669462143
linear_unreg,4,3.554303061950881
linear_unreg,5,3.5403220334882115
linear_L1reg,1,2.8792118285615347
linear_L1reg,2,3.5749550728577746
linear_L1reg,3,2.878095940656659
linear_L1reg,4,3.384461536864332
linear_L1reg,5,3.4988443587131632
mlp.1L.50percent,1,2.972019966573288
mlp.1L.50percent,2,3.578072239228178
mlp.1L.50percent,3,2.74260439473567
mlp.1L.50percent,4,3.357972947479419
mlp.1L.50percent,5,3.535316349905379
mlp.2L.75percent,1,3.140106762580097
mlp.2L.75percent,2,3.579669481143371
mlp.2L.75percent,3,2.788958956946366
mlp.2L.75percent,4,3.420262714866666
mlp.2L.75percent,5,3.518361143066594
mlp.2L.50percent,1,2.9782167803733954
mlp.2L.50percent,2,3.5756839189786125
mlp.2L.50percent,3,2.774191603831356
mlp.2L.50percent,4,3.342196591623874
mlp.2L.50percent,5,3.5895123348297986
mlp.1L.75percent,1,2.984555475671684
mlp.1L.75percent,2,3.5749550728577746
mlp.1L.75percent,3,2.7240530883957765
mlp.1L.75percent,4,3.3591609704909766
mlp.1L.75percent,5,3.5702879193163826
