method,fold,loss
linear_L1reg,1,0.0073125094433955
linear_L1reg,2,0.0049562837431403
linear_L1reg,3,0.0044374209966463
linear_L1reg,4,0.0062721646873877
linear_L1reg,5,0.006771275879839
linear_unreg,1,0.0345920143079722
linear_unreg,2,0.0134989944930233
linear_unreg,3,0.0143283196699905
linear_unreg,4,0.0175725380085414
linear_unreg,5,0.0201986927879653
mlp.1L.50percent,1,0.01070746667428827
mlp.1L.50percent,2,0.00869606924872417
mlp.1L.50percent,3,0.005170046657062869
mlp.1L.50percent,4,0.007231477004068367
mlp.1L.50percent,5,0.009737671241384476
mlp.1L.75percent,1,0.006047419066399892
mlp.1L.75percent,2,0.007049042771351983
mlp.1L.75percent,3,0.005117408492651096
mlp.1L.75percent,4,0.007292920246426507
mlp.1L.75percent,5,0.010041735068025685
mlp.2L.50percent,1,0.013175140717084552
mlp.2L.50percent,2,0.006160541288436818
mlp.2L.50percent,3,0.006301969279075252
mlp.2L.50percent,4,0.00745860752739954
mlp.2L.50percent,5,0.0084856574245061
mlp.2L.75percent,1,0.011633458690197832
mlp.2L.75percent,2,0.006323810271937111
mlp.2L.75percent,3,0.003942739874953947
mlp.2L.75percent,4,0.007729577341285445
mlp.2L.75percent,5,0.00755247105105083
mmit,1,0.010167969005072459
mmit,2,0.0054473535322190625
mmit,3,0.014507337571430017
mmit,4,0.01699892440024199
mmit,5,0.01438720314182716
