method,fold,loss
linear_unreg,1,2.986216339831468
linear_unreg,2,3.012321947242312
linear_unreg,3,3.088418776356413
linear_unreg,4,2.833609701914052
linear_unreg,5,2.855918792826519
linear_L1reg,1,2.985985558094199
linear_L1reg,2,3.01196104698172
linear_L1reg,3,3.088207462563356
linear_L1reg,4,2.8335070253866927
linear_L1reg,5,2.85558679955828
mlp.1L.50percent,1,3.0511408007722127
mlp.1L.50percent,2,3.024290011798632
mlp.1L.50percent,3,3.10022860650856
mlp.1L.50percent,4,2.9592564199679208
mlp.1L.50percent,5,2.868290440036632
mlp.2L.75percent,1,2.9874545149222254
mlp.2L.75percent,2,3.02370870583008
mlp.2L.75percent,3,3.106722037044537
mlp.2L.75percent,4,2.832694571110295
mlp.2L.75percent,5,2.8843254839787296
mlp.2L.50percent,1,2.985040666309714
mlp.2L.50percent,2,3.0264477477376137
mlp.2L.50percent,3,3.1049767967578514
mlp.2L.50percent,4,2.86920086394065
mlp.2L.50percent,5,2.8578413839561447
mlp.1L.75percent,1,3.0063002019905163
mlp.1L.75percent,2,3.031179692609039
mlp.1L.75percent,3,3.094139577108597
mlp.1L.75percent,4,2.834674541509411
mlp.1L.75percent,5,2.8641600596180217
