method,fold,loss
linear_L1reg,1,0.0124123224285114
linear_L1reg,2,0.0151771442248981
linear_L1reg,3,0.0050146679999367
linear_L1reg,4,0.013909079611082
linear_L1reg,5,0.0159555782141695
linear_unreg,1,0.0213309109058675
linear_unreg,2,0.0150961603537301
linear_unreg,3,0.006502408823593
linear_unreg,4,0.0156305038528598
linear_unreg,5,0.0210368344033087
mlp.1L.50percent,1,0.013626971856661917
mlp.1L.50percent,2,0.009546553328647359
mlp.1L.50percent,3,0.003996594553439624
mlp.1L.50percent,4,0.01171919159745243
mlp.1L.50percent,5,0.015380517526918564
mlp.1L.75percent,1,0.013081678266866958
mlp.1L.75percent,2,0.009890829974438546
mlp.1L.75percent,3,0.007766444796522684
mlp.1L.75percent,4,0.010055417349035648
mlp.1L.75percent,5,0.018669306889093015
mlp.2L.50percent,1,0.013230483306006612
mlp.2L.50percent,2,0.008769132847286037
mlp.2L.50percent,3,0.006025265631695148
mlp.2L.50percent,4,0.009989995316986019
mlp.2L.50percent,5,0.01570464544092821
mlp.2L.75percent,1,0.018397942648979055
mlp.2L.75percent,2,0.0151603057534169
mlp.2L.75percent,3,0.0036300955694740468
mlp.2L.75percent,4,0.011036513698818928
mlp.2L.75percent,5,0.017029481605275607
