method,fold,loss
constant,1,0.0082914627825346
constant,2,0.0078354315358186
constant,3,0.0036407317269779
constant,4,0.0069767547339084
constant,5,0.0081649201153116
linear,1,0.0065208789387066
linear,2,0.0077122919710151
linear,3,0.0046149896467706
linear,4,0.0063380426034018
linear,5,0.0063213963560692
mlp,1,0.0063145772408843
mlp,2,0.0075061535097753
mlp,3,0.0043735410770025
mlp,4,0.0073651365942062
mlp,5,0.0059581127582004
knn,1,0.0057813791706012
knn,2,0.0068647884268117
knn,3,0.0045557511940777
knn,4,0.0066031345265357
knn,5,0.0052526775166918
mmit,1,0.006273139181741407
mmit,2,0.008625796940157542
mmit,3,0.004192520342434743
mmit,4,0.0074115630704684856
mmit,5,0.0063274760492582635
rf,1,0.008789390658609769
rf,2,0.007404027943426674
rf,3,0.003410192581909217
rf,4,0.008482770173257288
rf,5,0.009100725180697815
