method,fold,loss
constant,1,0.0010521263424409
constant,2,0.0004265305163172
constant,3,0.0008816365874053
constant,4,0.0006968345860388
constant,5,0.0001899443631587
linear,1,0.0010905724335095
linear,2,0.0006137072515458
linear,3,0.0008733203397531
linear,4,0.0006989425731483
linear,5,0.0001617079527696
knn,1,0.0008318887181825
knn,2,0.0011307424810786
knn,3,0.0008226640828785
knn,4,0.0004351754148864
knn,5,0.0002518543463772
mmit,1,0.001249150562002
mmit,2,0.0006328329009824
mmit,3,0.0008094213680449
mmit,4,0.0007416513940844
mmit,5,0.0002200363964705
mlp,1,0.0008976187357844
mlp,2,0.0007438969369256
mlp,3,0.0008076485607024
mlp,4,0.0006573170582406
mlp,5,0.000125591747599
rf,1,0.0008505256112370252
rf,2,0.0006402185649663473
rf,3,0.0007932954748402635
rf,4,0.0005823130041965426
rf,5,0.00018901067621379422
