method,fold,loss
linear_L1reg,1,0.0466802008360199
linear_L1reg,2,0.0285325964444369
linear_L1reg,3,0.0290411450547346
linear_L1reg,4,0.038393318693133
linear_L1reg,5,0.0621692354056145
linear_unreg,1,0.0498290267614003
linear_unreg,2,0.0332565170816745
linear_unreg,3,0.0296791327642733
linear_unreg,4,0.0395841457057962
linear_unreg,5,0.0783277321119523
mlp.1L.50percent,1,0.03399663313193712
mlp.1L.50percent,2,0.021898875709286104
mlp.1L.50percent,3,0.01893991549381062
mlp.1L.50percent,4,0.028560612519531466
mlp.1L.50percent,5,0.055502616913822175
mlp.1L.75percent,1,0.030179774769579372
mlp.1L.75percent,2,0.02455358421136209
mlp.1L.75percent,3,0.01440624669031486
mlp.1L.75percent,4,0.04780819269539769
mlp.1L.75percent,5,0.03669353257564456
mlp.2L.50percent,1,0.019850883238481172
mlp.2L.50percent,2,0.024476174324090043
mlp.2L.50percent,3,0.02371681584509231
mlp.2L.50percent,4,0.04725628673829565
mlp.2L.50percent,5,0.03336845014230836
mlp.2L.75percent,1,0.021276200547813772
mlp.2L.75percent,2,0.023373979014917716
mlp.2L.75percent,3,0.014590396011225568
mlp.2L.75percent,4,0.03711897767699922
mlp.2L.75percent,5,0.037613896358628746
