method,fold,loss
constant,1,0.0012573197948018
constant,2,0.0038291246085555
constant,3,0.0027138212092535
constant,4,0.0009308579057587
constant,5,0.0043449973717491
linear,1,1.6319358483954206e-05
linear,2,7.647778387945838e-05
linear,3,0.0002357638966719
linear,4,1.1261286581417732e-05
linear,5,0.0001254928198449
knn,1,0.0001167984764814
knn,2,0.0008220139808615
knn,3,0.0004233175841486
knn,4,0.0002867766141944
knn,5,0.0014145732340762
mlp,1,1.5762093000089708e-05
mlp,2,3.3523336181173215e-05
mlp,3,0.00012658792523183624
mlp,4,5.393821471218539e-07
mlp,5,6.790932733648511e-05
