method,fold,loss
constant,1,0.0126246182203626
constant,2,0.012107634330039
constant,3,0.0248189153579017
constant,4,0.0233742442756015
constant,5,0.0144729178305043
linear,1,0.0058269513768385
linear,2,0.0046026116088286
linear,3,0.0103451467924767
linear,4,0.0077216391605151
linear,5,0.0052726685231435
knn,1,0.0056201346820392
knn,2,0.0051600447306025
knn,3,0.0125527276498263
knn,4,0.0062788523374121
knn,5,0.0049602045406982
mlp,1,0.006189016360101712
mlp,2,0.007097896496788446
mlp,3,0.00889890009793601
mlp,4,0.006125761579384689
mlp,5,0.005000710674488593
