method,fold,loss
constant,1,0.0046270938836434
constant,2,0.0027316436261204
constant,3,0.005343774540055
constant,4,0.0034452920080518
constant,5,0.0034088776617091
linear,1,0.0003445336266283
linear,2,0.0002990732222595
linear,3,0.0007964931590179
linear,4,0.0009715558227275
linear,5,0.0005268484948308
mlp,1,0.000132392649769
mlp,2,0.0001208499511823
mlp,3,0.0003739200751386
mlp,4,0.0007332587937893
mlp,5,0.0005390655273153
mmit,1,0.0004063270375858
mmit,2,0.0001722400444237
mmit,3,0.0003673809516775
mmit,4,0.0004239242486933
mmit,5,0.0010142855612133
knn,1,0.00018327448183580542
knn,2,0.0001765738218809897
knn,3,0.00038365733819806046
knn,4,0.0007901323452885777
knn,5,0.0005051282319994974
