method,fold,loss
constant,1,0.159457108387191
constant,2,0.394208855759166
constant,3,0.1107098972117481
constant,4,0.2511195724376026
constant,5,0.2048776136060247
linear,1,0.2284026885505069
linear,2,0.3772969283661068
linear,3,0.114923982784155
linear,4,0.2512588783234036
linear,5,0.6638225938640833
knn,1,0.563813712437896
knn,2,0.4519115115887813
knn,3,0.1479031288079139
knn,4,0.1667991157104563
knn,5,0.3030295784478904
mlp,1,0.1747152940523097
mlp,2,0.6008394230630376
mlp,3,0.26651410587371915
mlp,4,0.14222902451858774
mlp,5,0.6299359398060114
