method,fold,loss
constant,1,0.0646454576060317
constant,2,0.19265962750696
constant,3,0.0143949714732061
constant,4,0.4657877533758802
constant,5,0.0
linear,1,0.0157116194631306
linear,2,0.1077111320518483
linear,3,0.0073578267589953
linear,4,0.4777108412484679
linear,5,0.0
knn,1,0.0090240258920424
knn,2,1.4333773595434804
knn,3,0.0223124288554685
knn,4,0.4234256016367834
knn,5,0.013626560776108
mmit,1,0.1900403343392196
mmit,2,0.2780536804450974
mmit,3,0.0329547476598942
mmit,4,0.3900651371035629
mmit,5,0.0
rf,1,0.2119349592503943
rf,2,0.0021013573947493
rf,3,0.0487650551081076
rf,4,0.1616732021167358
rf,5,0.0
mlp,1,0.0
mlp,2,0.7292659414237532
mlp,3,0.0
mlp,4,0.398506357660795
mlp,5,0.0579692410588181
aft_xgboost,1,0.0017241036648208928
aft_xgboost,2,0.2962774549004804
aft_xgboost,3,0.0981823165859889
aft_xgboost,4,0.3269969716504764
aft_xgboost,5,0.07399130935468427
aft_xgboost_original,1,14.645839159760902
aft_xgboost_original,2,0.680126786928036
aft_xgboost_original,3,1.391068498014275
aft_xgboost_original,4,0.19561287022366386
aft_xgboost_original,5,0.6327408023669431
aft_xgboost_extreme,1,inf
aft_xgboost_extreme,2,0.13300958202623508
aft_xgboost_extreme,3,0.23010905048855745
aft_xgboost_extreme,4,0.35550723765575587
aft_xgboost_extreme,5,nan
aft_xgboost_sigmoid,1,3.328608487025073
aft_xgboost_sigmoid,2,6.1082598604122955
aft_xgboost_sigmoid,3,3.4739586350978646
aft_xgboost_sigmoid,4,10.582621709641785
aft_xgboost_sigmoid,5,nan
