method,fold,loss
constant,1,0.0003660552087991
constant,2,7.202179609006476e-06
constant,3,0.0
constant,4,0.0008246707499643
constant,5,0.0
linear,1,0.0005669369344093
linear,2,0.0
linear,3,1.2831069851952394e-05
linear,4,0.0007420836510431
linear,5,0.0
mlp,1,0.0004877138502647
mlp,2,0.0
mlp,3,1.1561531810893091e-05
mlp,4,0.0014172928268226
mlp,5,0.0
mmit,1,0.0004829637231348
mmit,2,0.0
mmit,3,0.0
mmit,4,0.0005254927177095
mmit,5,0.0
knn,1,0.00031394450274388773
knn,2,6.085405544556694e-07
knn,3,0.0
knn,4,0.0004952248524580626
knn,5,0.0005742663387112
