method,fold,loss
constant,1,0.0070437734543213
constant,2,5.0905816894208807e-05
constant,3,5.147118426703456e-05
constant,4,0.0003931862880656
constant,5,0.0039416036360502
linear,1,0.0065665886342357
linear,2,0.0001634204955102
linear,3,9.757142730926644e-05
linear,4,0.0003064082238264
linear,5,0.0035505767292348
mmit,1,0.0065806438314293
mmit,2,1.6996422690567838e-05
mmit,3,7.718926986963904e-06
mmit,4,0.0003377075577913
mmit,5,0.0039719841144684
knn,1,0.0065024973942511
knn,2,4.803993097798311e-05
knn,3,0.00016908930099
knn,4,0.0002676204208485
knn,5,0.0037897088627503
mlp,1,0.007000498037701006
mlp,2,0.00067619403510275
mlp,3,0.0007640427883552038
mlp,4,0.000604092471933138
mlp,5,0.003845884709909234
