method,fold,loss
constant,1,0.006310684371269
constant,2,0.003929996830986
constant,3,0.0090742599467866
constant,4,0.0070140093971692
constant,5,0.0107596189015973
linear,1,0.0044463005321786
linear,2,0.0021751549315432
linear,3,0.0048134283494246
linear,4,0.003827447646526
linear,5,0.0057365957054401
knn,1,0.0050392446206133
knn,2,0.0031298277677052
knn,3,0.0059883728912603
knn,4,0.0062176667553602
knn,5,0.0058628757181768
mmit,1,0.0053175023499004
mmit,2,0.0021722314754863
mmit,3,0.0062251714391454
mmit,4,0.0048741840553404
mmit,5,0.0060651442290797
rf,1,0.0041125564801629
rf,2,0.0023073089951325
rf,3,0.005354309848563
rf,4,0.0043495429800921
rf,5,0.0063789947830474
mlp,1,0.0040955297615782
mlp,2,0.0027141341516903
mlp,3,0.004867926939544
mlp,4,0.0051870567301778
mlp,5,0.0058083512618279
aft_xgboost,1,0.008920193734278098
aft_xgboost,2,0.007567018735741829
aft_xgboost,3,0.007753037573349965
aft_xgboost,4,0.010240223219555315
aft_xgboost,5,0.012239544327149257
