method,fold,loss
constant,1,0.0114627047316165
constant,2,0.0104055459689394
constant,3,0.0073759749192407
constant,4,0.0098619253706048
constant,5,0.0065722942906365
linear,1,0.0024223385452165
linear,2,0.001501031018519
linear,3,0.0013494463386323
linear,4,0.0027724736646104
linear,5,0.001629112172511
knn,1,0.0028694236191287
knn,2,0.0035797319426665
knn,3,0.0015624702331155
knn,4,0.0038660254693096
knn,5,0.0022348376038156
mmit,1,0.0014064881307693
mmit,2,0.0020914296301536
mmit,3,0.0005427485457888
mmit,4,0.0014899907400656
mmit,5,0.0009649581873691
rf,1,0.0053254193901161
rf,2,0.004877005849512
rf,3,0.0032384342871225
rf,4,0.0055062276053017
rf,5,0.0031179988383359
mlp,1,0.0005770941839141
mlp,2,0.0011348632131336
mlp,3,0.000733310830618
mlp,4,0.0010236782831256
mlp,5,0.000819533039135
aft_xgboost,1,0.01816790741482845
aft_xgboost,2,0.012173178175115516
aft_xgboost,3,0.006945157906727448
aft_xgboost,4,0.021279499260582847
aft_xgboost,5,0.011669172797556719
