method,fold,loss
constant,1,0.0162377040869747
constant,2,0.00715353591801
constant,3,0.0087294392544718
constant,4,0.0088015701210293
constant,5,0.0097480026412035
linear,1,0.0037930380104136
linear,2,0.0037575476008146
linear,3,0.0010722449722002
linear,4,0.0011798671759932
linear,5,0.0011204797844206
knn,1,0.0071662281014064
knn,2,0.0031542854348951
knn,3,0.0016467333619137
knn,4,0.0024859205382898
knn,5,0.001079893024088
mlp,1,0.0015382454601205
mlp,2,0.0022255658608701
mlp,3,6.398059260446392e-05
mlp,4,0.0005227941990536
mlp,5,0.000585043634233
mmit,1,0.0014585222084799
mmit,2,0.0004180241986054
mmit,3,7.99515771111731e-05
mmit,4,0.0006615562907388
mmit,5,0.0010085789720057
