method,fold,loss
constant,1,1.086827086652775
constant,2,0.71927604343895
constant,3,0.9851924464820752
constant,4,1.1838335546687495
constant,5,1.17750516235335
linear,1,1.0969701421919784
linear,2,0.7813362409704929
linear,3,0.9854504315452348
linear,4,1.190279915876035
linear,5,1.204876016573723
knn,1,0.9363710479920084
knn,2,0.5911657656739636
knn,3,0.7663492879790178
knn,4,1.1784876089130616
knn,5,1.2358800481760397
mmit,1,0.0152889207647448
mmit,2,0.0067323106571157
mmit,3,0.0084786041572525
mmit,4,0.0087984272149319
mmit,5,0.0093842876351694
rf,1,0.0012829945710051
rf,2,0.0008788426144596
rf,3,0.0031492581124059
rf,4,0.0053757516548565
rf,5,0.0060618809592428
mlp,1,1.1886083435038275
mlp,2,0.9119673903448996
mlp,3,1.02470348335426
mlp,4,1.1524175164297248
mlp,5,1.2856546219958322
aft_xgboost,1,0.0039115197598598205
aft_xgboost,2,0.0013518228299938745
aft_xgboost,3,0.005312513454232124
aft_xgboost,4,0.008321345106891278
aft_xgboost,5,0.0031945804903886627
aft_xgboost_original,1,0.010434966277370165
aft_xgboost_original,2,0.008010282001118165
aft_xgboost_original,3,0.013263361143278118
aft_xgboost_original,4,0.01959866883277701
aft_xgboost_original,5,0.01109014429142118
aft_xgboost_extreme,1,0.010434966277370165
aft_xgboost_extreme,2,0.008010282001118165
aft_xgboost_extreme,3,0.013263361143278118
aft_xgboost_extreme,4,0.01959866883277701
aft_xgboost_extreme,5,0.01109014429142118
aft_xgboost_sigmoid,1,2.244199106595717
aft_xgboost_sigmoid,2,nan
aft_xgboost_sigmoid,3,nan
aft_xgboost_sigmoid,4,nan
aft_xgboost_sigmoid,5,nan
