method,fold,loss
constant,1,0.0819434785286
constant,2,0.097807253498575
constant,3,0.0543554896842749
constant,4,0.0364762791922749
constant,5,0.073962806140125
linear,1,0.0034191370283326
linear,2,0.0021219388137756
linear,3,0.0007595254664198
linear,4,0.0001359108268265
linear,5,0.0001086003681517
knn,1,0.0333494100014134
knn,2,0.0408391052433181
knn,3,0.0123531913453858
knn,4,0.0129580468587184
knn,5,0.0256207931225448
mmit,1,0.0023416191966028
mmit,2,0.0083333495096482
mmit,3,0.0041251473061113
mmit,4,0.0002959490651652
mmit,5,0.0013835094369565
rf,1,0.0008897762112617
rf,2,0.0054100016321489
rf,3,0.0011885769099523
rf,4,0.0003716306049712
rf,5,0.0010063434252848
mlp,1,0.0070545225534834
mlp,2,0.0035302363352404
mlp,3,0.0031093494648621
mlp,4,0.0013733255791995
mlp,5,0.0016313751705845
aft_xgboost,1,0.0003595171654847358
aft_xgboost,2,0.00360490779271517
aft_xgboost,3,0.013358452479583283
aft_xgboost,4,0.0008818610637402176
aft_xgboost,5,0.000952082255340956
aft_xgboost_original,1,0.0058564910360498
aft_xgboost_original,2,nan
aft_xgboost_original,3,nan
aft_xgboost_original,4,nan
aft_xgboost_original,5,nan
aft_xgboost_extreme,1,0.009279163270789915
aft_xgboost_extreme,2,0.009259095809947474
aft_xgboost_extreme,3,0.01320087063746484
aft_xgboost_extreme,4,0.0
aft_xgboost_extreme,5,0.004988046755710004
