method,fold,loss
linear_L1reg,1,0.1491953977929499
linear_L1reg,2,0.0965082528849797
linear_L1reg,3,0.1041829061583695
linear_L1reg,4,0.1838062809925929
linear_L1reg,5,0.147172817153887
linear_unreg,1,0.1834251265973777
linear_unreg,2,0.1183824379645815
linear_unreg,3,0.1560082155153319
linear_unreg,4,0.2379115941677813
linear_unreg,5,0.1668318762487023
mlp.1L.50percent,1,0.36578709655643576
mlp.1L.50percent,2,0.0961454865679439
mlp.1L.50percent,3,0.30619407343555843
mlp.1L.50percent,4,0.18438913465187642
mlp.1L.50percent,5,0.29340166367430415
mlp.1L.75percent,1,0.3709213766755266
mlp.1L.75percent,2,0.2924524688331588
mlp.1L.75percent,3,0.10297578503137317
mlp.1L.75percent,4,0.18495278536123774
mlp.1L.75percent,5,0.1031506674438703
mlp.2L.50percent,1,0.3806592977165318
mlp.2L.50percent,2,0.29882268172419657
mlp.2L.50percent,3,0.31578679250575475
mlp.2L.50percent,4,0.3620517614386045
mlp.2L.50percent,5,0.3123866463052775
mlp.2L.75percent,1,0.3736437487185201
mlp.2L.75percent,2,0.3029070710673406
mlp.2L.75percent,3,0.31282919713233237
mlp.2L.75percent,4,0.35078991510553226
mlp.2L.75percent,5,0.32272666655990606
mmit,1,0.36755581591043984
mmit,2,0.3711282369247958
mmit,3,0.3406657777334786
mmit,4,0.31937945646030547
mmit,5,0.3932210043560229
