method,fold,loss
constant,1,0.0018019368949051
constant,2,0.0007523125524515
constant,3,0.0007839567146379
constant,4,0.0037033030530523
constant,5,0.004984873922753
linear,1,0.0011065652888254
linear,2,0.0003369429212364
linear,3,0.0004527383051407
linear,4,0.0034601798137025
linear,5,0.0044666692493805
knn,1,0.0011735490048773
knn,2,0.0002432351668414
knn,3,0.0004075614958994
knn,4,0.0033623300274546
knn,5,0.0045132797378846
mmit,1,0.0010644712274793
mmit,2,0.0029404054706578
mmit,3,0.0003991468517847
mmit,4,0.003375337475769
mmit,5,0.0049353063909128
mlp,1,0.0011814537222627
mlp,2,0.0004214663970254
mlp,3,0.0004137807352355
mlp,4,0.0033603681885584
mlp,5,0.0045739828367392
rf,1,0.0012269124173567509
rf,2,0.000551726730165059
rf,3,0.0004678425435852934
rf,4,0.0032751176530405393
rf,5,0.004444796272893202
