method,fold,loss
constant,1,0.0026152184825562
constant,2,0.0020627743977286
constant,3,0.0056042578508638
constant,4,0.0067960326629544
constant,5,0.0058864310026211
linear,1,0.0049572697521888
linear,2,0.0009622449856281
linear,3,0.0057526665822456
linear,4,0.0070466037104477
linear,5,0.0058212150093641
mmit,1,0.0023679791012317
mmit,2,0.0003452113553507
mmit,3,0.007377583030999
mmit,4,0.0062311323775675
mmit,5,0.0029697248020889
knn,1,0.0055940042214672
knn,2,0.0016107816666424
knn,3,0.0058403757572609
knn,4,0.0069191256786281
knn,5,0.0038553183784701
mlp,1,0.003262081497884633
mlp,2,0.00105369608063351
mlp,3,0.004148906595685369
mlp,4,0.007121495974669748
mlp,5,0.0043809118075117115
