method,fold,loss
constant,1,0.0017627214842785
constant,2,0.0081553378295286
constant,3,0.0021795207703982
constant,4,0.0032693127010327
constant,5,0.0138229931696104
linear,1,0.001234780500179
linear,2,0.0069396680430046
linear,3,0.0025245519962432
linear,4,0.0014189862345273
linear,5,0.0118310422242948
knn,1,0.0023909818516658
knn,2,0.0056710602914212
knn,3,0.0046240205176262
knn,4,0.0025080561276429
knn,5,0.0096215827008113
mmit,1,0.0090468106272477
mmit,2,0.0066592703478578
mmit,3,0.0025948818815847
mmit,4,0.0013273370556391
mmit,5,0.0110878811470238
mlp,1,0.0017489282222042
mlp,2,0.0057810855788798
mlp,3,0.0024419478687526
mlp,4,0.0017353607654907
mlp,5,0.00997672183037
rf,1,0.0012350949867991603
rf,2,0.006995882152890473
rf,3,0.0021893582957699517
rf,4,0.0019950019117600496
rf,5,0.012537722592538554
