method,fold,loss
constant,1,0.0002596499047432
constant,2,7.793404226080213e-05
constant,3,0.0085016294148374
constant,4,0.0177101147575756
constant,5,0.0001591045333261
linear,1,0.0014796253805595
linear,2,0.0
linear,3,0.0006290778069255
linear,4,0.004295445422171
linear,5,0.0005368342406675
knn,1,0.0002698359133372
knn,2,0.0013335259227655
knn,3,0.0020378001525546
knn,4,0.0045003202021767
knn,5,0.0017726656786154
mlp,1,0.0007512361285884963
mlp,2,0.0
mlp,3,0.0015739043429502688
mlp,4,0.002817162688536371
mlp,5,0.00010843483773953838
