method,fold,loss
constant,1,0.0146746490807176
constant,2,0.0161588938000641
constant,3,0.016079540138395
constant,4,0.0123521050884205
constant,5,0.0125139964586053
linear,1,0.0134633849802083
linear,2,0.0132993693432905
linear,3,0.0138642008300884
linear,4,0.0115075880573615
linear,5,0.0124972234955116
mmit,1,0.0210742343771583
mmit,2,0.0179529828948015
mmit,3,0.0207819110894757
mmit,4,0.0124383320349172
mmit,5,0.0169757530619959
knn,1,0.0118571555411984
knn,2,0.01480299428031
knn,3,0.0134994499100898
knn,4,0.0070100650319987
knn,5,0.0149069730979318
mlp,1,0.014024827669128652
mlp,2,0.013629534459034741
mlp,3,0.012914293820408842
mlp,4,0.008988307051801349
mlp,5,0.013078594132475141
