Feature,Mean Importance,Lower Bound,Upper Bound
x14,0.0012864517892092293,0.0005628947852771825,0.0020100087931412764
x5,0.0015939071971865263,0.0007457934414232408,0.0024420209529498116
x12,0.0015959577068672905,0.001089703725560955,0.0021022116881736263
x18,0.0017556384822669147,0.000933935360775283,0.002577341603758546
x3,0.0017641316646299057,0.001177190575246735,0.0023510727540130764
x6,0.0018010475768205714,0.0012520391236462247,0.002350056029994918
x13,0.0018301379063334956,0.000979636463945911,0.00268063934872108
x9,0.0018322557626604785,0.000734845100066996,0.0029296664252539614
x1,0.0018995268151260085,0.0013017793365909004,0.0024972742936611165
x19,0.0019229929585806006,0.0010054326633363345,0.0028405532538248665
x8,0.002018128843499766,0.0009806838579708875,0.003055573829028644
x7,0.0020465287385582043,0.0010623917784679852,0.0030306656986484235
x15,0.002168945063523745,0.001182136011509538,0.003155754115537952
x11,0.002193994200319784,0.0011484253474679062,0.003239563053171662
x2,0.002346482100072418,0.0008230695649723502,0.003869894635172486
x10,0.002477877861037903,0.000592917399019947,0.00436283832305586
x16,0.002528545796761713,0.0008743149081015835,0.004182776685421843
x17,0.0025588736766396693,0.0011237500610330822,0.003993997292246256
x4,0.0034034772802918668,-5.3400482603953e-05,0.006860355043187686
x0,0.9609750985796139,0.9515830041461848,0.9703671930130431
