Feature,Mean Importance,Lower Bound,Upper Bound
x8,0.008511202763074363,0.004572494010372737,0.012449911515775992
x1,0.009047423441526696,0.004718950890518336,0.013375895992535055
x2,0.009685659708569508,0.005441714281836157,0.013929605135302857
x7,0.009725653180559304,0.006744890341558219,0.01270641601956039
x18,0.010133064550248112,0.00567847146008486,0.014587657640411363
x4,0.01038687825352214,0.0061734449644937905,0.014600311542550487
x14,0.011075367376270188,0.005285197888100069,0.016865536864440308
x3,0.011423711752470414,0.004668520103256215,0.018178903401684612
x5,0.011628925124407866,0.0056743867521986315,0.017583463496617102
x16,0.012309471054668272,0.008105889598017817,0.01651305251131873
x12,0.012682285247472955,0.005951815771024331,0.01941275472392158
x9,0.01295630906010153,0.006365288527675565,0.019547329592527495
x10,0.013174506507838246,0.007972277781259227,0.01837673523441727
x6,0.013253306864188843,0.008870932117737089,0.017635681610640597
x11,0.014090867414922544,0.006300466325236039,0.021881268504609048
x15,0.014096066294620211,0.0009019898121417017,0.027290142777098722
x13,0.01798795087501581,0.00735043387368296,0.028625467876348655
x17,0.021623824650441287,0.009243643489039343,0.034004005811843235
x19,0.02500571190718467,0.005251623515911927,0.044759800298457414
x0,0.7512018139728971,0.6735438317546907,0.8288597961911033
