Feature,Mean Importance,Lower Bound,Upper Bound
X30,0.0,0.0,0.0
X5,5.586140183249045e-05,-1.4133524744280416e-05,0.00012585632840926133
X2,7.566755762304079e-05,-1.9907457067064495e-05,0.00017124257231314606
X39,8.481905968451627e-05,-9.693616567095544e-05,0.000266574285039988
X7,0.00017354135976651805,9.668661405055063e-07,0.00034611585339253055
X12,0.00017626581109354226,-4.3845964894302334e-05,0.00039637758708138687
X1,0.00017824449755274093,4.0975649765806325e-05,0.00031551334533967554
X4,0.00019498617774884407,0.00010339167411147932,0.0002865806813862088
X16,0.0002723470559117137,9.619523652428079e-05,0.00044849887529914667
X36,0.0003302675957105536,8.88867996806713e-05,0.0005716483917404359
X18,0.0003341253827240933,9.041608144980424e-05,0.0005778346839983824
X34,0.00035024013525913097,6.098164908248125e-05,0.0006394986214357807
X0,0.0003564529241292365,-8.484041877418482e-05,0.0007977462670326578
X38,0.0003821719147127175,0.00010342482872343183,0.0006609190007020032
X14,0.0004907535823452132,0.00012599432288097265,0.0008555128418094536
X10,0.0005851569158650184,4.698036120882437e-06,0.0011656157956091543
X13,0.0006374177679859186,-3.724689132779112e-05,0.0013120824272996284
X41,0.0006387463322739274,-9.392761059263022e-06,0.0012868854256071179
X19,0.000705494559525876,0.00019766737095133609,0.001213321748100416
X32,0.0007171396410925881,-7.10173816463155e-06,0.0014413810203498076
X17,0.0008171056798481518,0.00015303042397140292,0.0014811809357249007
X3,0.0012645126619244727,0.0002562559539568215,0.002272769369892124
X8,0.001488726476972267,0.0005265241079456318,0.002450928845998902
X28,0.0015321320637548233,0.0005763257794352284,0.0024879383480744185
X27,0.0016716378479271852,0.00037784818670803886,0.0029654275091463315
X22,0.0017895781646497613,-0.0009249639531663414,0.0045041202824658635
X35,0.0018475423662064011,-0.0002494163407779771,0.003944501073190779
X44,0.002128342262000632,0.0011193595210464559,0.003137325002954809
X15,0.002177245533364288,0.0009627548190823049,0.0033917362476462713
X33,0.0022557384966884887,0.00039137359412369575,0.0041201033992532814
X11,0.0024228621846136204,0.001228004794510241,0.0036177195747169994
X29,0.0026726966729339018,-0.0013366131047108298,0.006682006450578634
X6,0.002675479519047069,-0.000360826000372099,0.005711785038466238
X24,0.003086545130821141,0.0015050806634906916,0.00466800959815159
X23,0.003109555031778434,0.000948521684761431,0.005270588378795437
X20,0.003410573083939105,0.0014384320986671978,0.005382714069211012
X21,0.0036393991974848477,0.0015752903766868692,0.005703508018282826
X26,0.003856634765133358,0.001501006848098007,0.00621226268216871
X9,0.004892615300719993,0.0009179602862897103,0.008867270315150276
X25,0.005900064412455199,0.002673703653156329,0.00912642517175407
X37,0.00630987118239732,0.0010753919254310198,0.01154435043936362
X50,0.0077376077298380065,0.0007160338652029576,0.014759181594473056
X52,0.008044138763418954,0.005655768678159997,0.010432508848677911
X31,0.008324141435459717,-0.000758472213271617,0.017406755084191053
X42,0.011157483472397912,0.0026621520202587856,0.01965281492453704
X53,0.014462854236149316,0.008546050472070974,0.02037965800022766
X45,0.01588900938229637,0.007231017656632324,0.024547001107960414
X55,0.016108152433767196,0.010234999152506842,0.021981305715027554
X47,0.016469754841903737,0.005761402240680367,0.027178107443127108
X43,0.018023390722513577,0.01284025371352861,0.02320652773149854
X46,0.01973778498513728,0.006346318421173889,0.033129251549100666
X54,0.023952015632713645,0.017007891989682708,0.03089613927574458
X40,0.03272651504750273,-0.0027089434554343136,0.06816197355043976
X48,0.04021115077923523,0.019571562452132565,0.0608507391063379
X51,0.04122770870220552,0.0007558304435785305,0.0816995869608325
X49,0.0575001783109953,0.025335685928706463,0.08966467069328413
X56,0.1709093687095436,0.049876691817426155,0.29194204560166104
X57,0.1737137065313744,0.04966429445359485,0.29776311860915394
X58,0.2581164805760494,0.13098513082469743,0.3852478303274014
