Feature,Mean Importance,Lower Bound,Upper Bound
X4,0.0002102020316184199,6.52209240813985e-05,0.0003551831391554413
X2,0.0010695327939027758,0.00013453038907835292,0.0020045351987271983
X0,0.0010740445282665266,0.000284294827722859,0.001863794228810194
X3,0.0011712629237782273,0.0004090619199344533,0.0019334639276220012
X5,0.0021678969299135224,0.0012252626793740223,0.0031105311804530225
X11,0.003175601902957797,0.001790612975196254,0.00456059083071934
X10,0.0033271398396914316,0.002100617850343423,0.00455366182903944
X13,0.003639929039508775,0.001849969617756452,0.005429888461261098
X18,0.004876098782536619,0.002637911875945884,0.007114285689127356
X8,0.004969796610051902,0.002973840027655216,0.0069657531924485865
X12,0.005124698381716551,0.002818093268888099,0.007431303494545004
X14,0.0068490290825660265,0.003901387315787346,0.009796670849344706
X6,0.006898396647200157,0.004180674242817035,0.009616119051583279
X9,0.007000371511595094,0.003869846224441859,0.010130896798748328
X19,0.0070087395683712805,0.004081784502793,0.009935694633949561
X16,0.008213092666806462,0.0049968017163146685,0.011429383617298255
X20,0.008821991753134233,0.005823271604778571,0.011820711901489898
X7,0.009400112589550879,0.0042580242530571,0.014542200926044656
X15,0.021412572453113527,0.010544604010208306,0.03228054089601875
X17,0.02157441678944014,0.01362757916806474,0.029521254410815538
X24,0.06919206612165935,0.05860822084103145,0.07977591140228726
X1,0.08322449829317233,0.020610628650210776,0.14583836793613386
X22,0.11442685952201678,0.09205435497161399,0.1367993640724196
X23,0.1957877187387445,0.09115182530340532,0.3004236121740837
X21,0.4093839304986867,0.3015987470185981,0.5171691139787753
