Feature,Mean Importance,Lower Bound,Upper Bound
X29,0.00032790755334742756,2.7149573212976685e-05,0.0006286655334818785
X9,0.0003310953756705686,0.0001057526672721285,0.0005564380840690087
X8,0.0005298294821712192,-0.00016810680789933145,0.00122776577224177
X13,0.0005656320175684413,-0.00022178734591805354,0.0013530513810549364
X7,0.0017629110060078017,0.00051042947463067,0.0030153925373849334
X21,0.0019528743819439863,0.0005212711818266877,0.0033844775820612845
X20,0.0021853605605141593,0.00041185994820460087,0.003958861172823718
X11,0.002416643423878746,-0.0004847205473617123,0.005318007395119204
X19,0.003091299744370028,0.001272009506587895,0.004910589982152162
X5,0.003542144790766963,0.0009980751588729347,0.006086214422660991
X0,0.004019516535744664,0.0006151092567570451,0.007423923814732283
X16,0.004082859022351255,0.002284824404872601,0.0058808936398299086
X18,0.006271042426435076,-0.00022981686038185982,0.01277190171325201
X15,0.007079349870278373,0.0021485979166295244,0.012010101823927222
X10,0.009297762263562354,0.0027769446683757314,0.015818579858748974
X14,0.010616616937238192,0.006973736199381015,0.014259497675095368
X17,0.01235051460838156,0.006464187195709883,0.01823684202105324
X22,0.013909537983412197,0.007878582643750583,0.01994049332307381
X1,0.014733305389876088,0.01092046193292846,0.018546148846823714
X2,0.015196381163727332,0.011988665655562575,0.018404096671892085
X33,0.01588582931098835,0.011480069839384,0.0202915887825927
X4,0.016818345241998205,0.01256056850420791,0.021076121979788497
X35,0.01857692854637124,0.012846650362786318,0.024307206729956163
X6,0.01943735451850443,0.004639358935670443,0.03423535010133842
X36,0.020316464594711734,0.013347779063421845,0.027285150126001627
X23,0.021526653776599035,0.0031417745481059313,0.03991153300509214
X37,0.022645163831285786,0.017880882370903517,0.02740944529166806
X38,0.028012195868794644,0.021953748077091335,0.03407064366049796
X12,0.028898879978012208,0.015669924518553174,0.04212783543747124
X34,0.030024136857892576,0.015986430264732204,0.04406184345105295
X27,0.030598257595109476,0.02473265638313745,0.0364638588070815
X28,0.03076490500704196,0.022428215734427912,0.039101594279656
X25,0.03133809070770828,0.02191541607230517,0.0407607653431114
X26,0.033440313887804635,0.02455753059792108,0.04232309717768819
X31,0.03402194481522386,0.0278715221866147,0.04017236744383301
X32,0.03464486722815607,0.027849774046925443,0.04143996040938672
X24,0.03623632795360798,0.025884249224257184,0.046588406682958786
X30,0.045648880332873204,0.028614883941300625,0.06268287672444578
X3,0.05217977410771643,0.031791239565311144,0.07256830865012172
X39,0.3347221013023535,0.3121068408539001,0.35733736175080694
