Feature,Mean Importance,Lower Bound,Upper Bound
X12,8.570203187113712e-07,9.62620880633034e-08,1.6177785493594393e-06
X2,1.6075408142810552e-06,-8.101841294656196e-07,4.02526575802773e-06
X28,1.8884551203732049e-06,-7.72859189062036e-07,4.5497694298084455e-06
X29,3.00215329486329e-06,-1.2998436545485534e-06,7.304150244275134e-06
X20,4.320861400693352e-06,-5.7586176653644675e-06,1.4400340466751171e-05
X6,6.669467393962459e-06,-3.8566458386536203e-07,1.372459937179028e-05
X14,7.4191616979428835e-06,3.3102890412593825e-09,1.4835013106844509e-05
X24,1.139544090571283e-05,-6.50399746837034e-07,2.3441281558262695e-05
X4,1.2832399145952721e-05,-1.1309336167469298e-05,3.697413445937474e-05
X5,1.8783252176044552e-05,-1.2332798796847983e-06,3.879978423177391e-05
X25,2.1218259506331567e-05,7.134972339550808e-06,3.530154667311233e-05
X9,2.3084799488336903e-05,1.0719059241021226e-05,3.545053973565258e-05
X11,2.3198238822809958e-05,-2.4365301673602268e-05,7.076177931922217e-05
X23,2.7151529856004292e-05,2.90334759547414e-06,5.139971211653444e-05
X7,3.0666523803033724e-05,-1.4723132710125137e-05,7.605618031619258e-05
X3,4.10561269821005e-05,-1.1095427805839434e-05,9.320768177004045e-05
X16,4.5363082617858416e-05,2.1476815540614938e-05,6.92493496951019e-05
X10,4.688078151674502e-05,1.4407244382202469e-05,7.935431865128758e-05
X13,7.704377531950254e-05,7.401070914131691e-06,0.00014668647972487342
X8,9.869347147719779e-05,1.9107867040113207e-05,0.0001782790759142824
X18,0.00010101095584765681,2.768894003390458e-05,0.00017433297166140904
X19,0.0001360808272497964,7.317987064570829e-05,0.00019898178385388454
X15,0.0003917616234785964,3.158749390939726e-05,0.0007519357530477956
X22,0.0004389247890305484,6.467419743495928e-05,0.0008131753806261375
X0,0.0004753438803784967,9.792098606384563e-06,0.0009408956621506089
X26,0.0007072467577218546,5.8378559336703245e-05,0.001356114956107006
X17,0.0008325571342821878,3.545458530832045e-06,0.0016615688100335437
X21,0.0012342729467399451,0.00028192755078230286,0.0021866183426975877
X1,0.0022882660323308443,-0.0009089734742296801,0.005485505538891369
X27,0.004089459339076671,-0.0007082864228991632,0.008887205101052505
X30,0.016095305841458928,0.00753324681688535,0.024657364866032504
X34,0.0362553192996325,0.011860151822086318,0.060650486777178686
X31,0.03661530162192526,0.009638821798265085,0.06359178144558543
X35,0.05541307429757467,0.012167296888040982,0.09865885170710836
X33,0.06554262060525975,0.031367112265758196,0.09971812894476131
X32,0.7788803217063538,0.7104004202920688,0.8473602231206387
