Feature,Mean Importance,Lower Bound,Upper Bound
X24,0.0,0.0,0.0
X20,0.0015044559280046146,0.00013198755154544578,0.0028769243044637835
X6,0.0038998484661626667,0.000957908886308517,0.006841788046016816
X12,0.0077910024883102134,0.0028066582873348686,0.012775346689285559
X0,0.011064814002729063,0.007049467499279023,0.015080160506179104
X3,0.011798998731578417,0.0029917971086517933,0.02060620035450504
X22,0.01383703324981875,-0.0020219389330995846,0.029696005432737087
X15,0.016107795668311713,0.002122068756395348,0.030093522580228082
X4,0.016845193117555668,0.011203411659718967,0.022486974575392366
X21,0.020110385161300873,-0.009493165102061744,0.049713935424663486
X8,0.021467629819039748,0.011822644616525907,0.03111261502155359
X18,0.029250385537577805,0.006733034618754673,0.05176773645640093
X13,0.033071757704177016,0.01759435061970767,0.048549164788646355
X17,0.03431496584631295,0.016681968728149248,0.05194796296447666
X5,0.0356427386822318,-0.00012282924130383507,0.07140830660576743
X2,0.03796616923139061,0.022298713929125222,0.053633624533656
X16,0.039957461819711534,0.021096231179902423,0.058818692459520636
X26,0.04295273818033589,0.008609335640775656,0.07729614071989613
X7,0.0439719675840477,0.019952140300525174,0.06799179486757023
X9,0.04885059112851382,0.03281820169271639,0.06488298056431126
X14,0.048904292888558736,0.02492447838794072,0.07288410738917675
X1,0.05734506266501225,0.03609878098038745,0.07859134434963705
X11,0.0615595586329913,0.0414049139447342,0.0817142033212484
X10,0.06432014977941475,0.04293855508662632,0.08570174447220319
X23,0.08241086537044495,0.020079637778912054,0.14474209296197782
X25,0.10130295512619933,0.05148299284312795,0.1511229174092707
X19,0.11375118319026786,0.06533558871924974,0.16216677766128598
