dataset,num_layer,layer_size,test_fold
baskball,1,1,1
baskball,1,1,2
baskball,1,1,3
baskball,1,1,4
baskball,1,1,5
baskball,1,2,1
baskball,1,2,2
baskball,1,2,3
baskball,1,2,4
baskball,1,2,5
baskball,1,4,1
baskball,1,4,2
baskball,1,4,3
baskball,1,4,4
baskball,1,4,5
baskball,1,8,1
baskball,1,8,2
baskball,1,8,3
baskball,1,8,4
baskball,1,8,5
baskball,1,16,1
baskball,1,16,2
baskball,1,16,3
baskball,1,16,4
baskball,1,16,5
baskball,1,32,1
baskball,1,32,2
baskball,1,32,3
baskball,1,32,4
baskball,1,32,5
baskball,1,64,1
baskball,1,64,2
baskball,1,64,3
baskball,1,64,4
baskball,1,64,5
baskball,2,1,1
baskball,2,1,2
baskball,2,1,3
baskball,2,1,4
baskball,2,1,5
baskball,2,2,1
baskball,2,2,2
baskball,2,2,3
baskball,2,2,4
baskball,2,2,5
baskball,2,4,1
baskball,2,4,2
baskball,2,4,3
baskball,2,4,4
baskball,2,4,5
baskball,2,8,1
baskball,2,8,2
baskball,2,8,3
baskball,2,8,4
baskball,2,8,5
baskball,2,16,1
baskball,2,16,2
baskball,2,16,3
baskball,2,16,4
baskball,2,16,5
baskball,2,32,1
baskball,2,32,2
baskball,2,32,3
baskball,2,32,4
baskball,2,32,5
baskball,2,64,1
baskball,2,64,2
baskball,2,64,3
baskball,2,64,4
baskball,2,64,5
sensory,1,1,1
sensory,1,1,2
sensory,1,1,3
sensory,1,1,4
sensory,1,1,5
sensory,1,2,1
sensory,1,2,2
sensory,1,2,3
sensory,1,2,4
sensory,1,2,5
sensory,1,4,1
sensory,1,4,2
sensory,1,4,3
sensory,1,4,4
sensory,1,4,5
sensory,1,8,1
sensory,1,8,2
sensory,1,8,3
sensory,1,8,4
sensory,1,8,5
sensory,1,16,1
sensory,1,16,2
sensory,1,16,3
sensory,1,16,4
sensory,1,16,5
sensory,1,32,1
sensory,1,32,2
sensory,1,32,3
sensory,1,32,4
sensory,1,32,5
sensory,1,64,1
sensory,1,64,2
sensory,1,64,3
sensory,1,64,4
sensory,1,64,5
sensory,2,1,1
sensory,2,1,2
sensory,2,1,3
sensory,2,1,4
sensory,2,1,5
sensory,2,2,1
sensory,2,2,2
sensory,2,2,3
sensory,2,2,4
sensory,2,2,5
sensory,2,4,1
sensory,2,4,2
sensory,2,4,3
sensory,2,4,4
sensory,2,4,5
