Feature,Mean Importance,Lower Bound,Upper Bound
X9,0.00038210531322596897,0.00010876499984597268,0.0006554456266059652
X20,0.00041074968349949113,-6.257056282479826e-05,0.0008840699298237806
X8,0.0004405727680362817,-5.688068493301925e-05,0.0009380262210055825
X29,0.0004611240293541976,2.091907126985416e-05,0.000901328987438541
X11,0.0006605815557919714,-0.0001242641136932065,0.0014454272252771494
X13,0.0008167780758792263,-0.00020126562458506466,0.0018348217763435174
X19,0.0013346996510038443,-0.00046103850511453645,0.0031304378071222248
X21,0.0014531886737660844,7.808145065911102e-05,0.0028282958968730574
X7,0.0016409936623608045,0.0006266632738749928,0.0026553240508466157
X5,0.003074712022819878,0.0010437047199252224,0.005105719325714535
X15,0.0038665194944537797,0.0008883885628997602,0.006844650426007799
X16,0.005250066432799846,0.003345324032030697,0.007154808833568995
X0,0.005407368163784688,0.0016657691948701728,0.009148967132699205
X18,0.00597059185232717,-0.0006054232955031869,0.012546607000157525
X14,0.008628015080696081,0.004276890640959737,0.012979139520432427
X10,0.00941268497171269,0.003059043247256036,0.01576632669616934
X4,0.012072098405778808,0.00798218351803782,0.016162013293519795
X6,0.01304719135715474,0.00012259251851272357,0.025971790195796755
X22,0.013478439524307242,0.0075317409980789314,0.01942513805053555
X2,0.015443795334169074,0.011618020706635826,0.019269569961702322
X17,0.016700585273604813,0.002605279312131753,0.030795891235077876
X23,0.017564589866217936,0.007156821470799574,0.0279723582616363
X1,0.018454071797795745,0.013058132880331863,0.023850010715259627
X33,0.020158974963079408,0.005850667815694645,0.03446728211046417
X37,0.021056162471434277,0.016318731455724246,0.0257935934871443
X35,0.021892862091424617,0.0151260458862737,0.028659678296575536
X36,0.02318635050838122,0.015394462212775286,0.03097823880398716
X38,0.027545392324546017,0.01873235555498623,0.036358429094105804
X24,0.028961866424119263,0.022818143161027774,0.03510558968721075
X28,0.029308226311586742,0.023006642120752346,0.03560981050242114
X27,0.029745592087269884,0.02399904126203487,0.035492142912504895
X32,0.030927442542169576,0.02634140680382238,0.035513478280516764
X26,0.032292464724267306,0.024298564281900834,0.04028636516663377
X34,0.03271306733876913,0.017480921774968287,0.047945212902569964
X25,0.0334447603198556,0.02666462689565776,0.040224893744053435
X31,0.03728919893802447,0.028340241723198364,0.04623815615285058
X12,0.043969969230886585,0.020253013965025046,0.06768692449674812
X30,0.0477631682877756,0.02669088369107256,0.06883545288447863
X3,0.06211511560821257,0.03489463197256267,0.08933559924386247
X39,0.3216578628376574,0.2890827396947228,0.35423298598059194
