Feature,Mean Importance,Lower Bound,Upper Bound
X19,0.0,0.0,0.0
X17,0.004650510522179787,0.0021612486679632027,0.0071397723763963715
X9,0.005589215845138355,-0.0013879384543219794,0.012566370144598691
X15,0.006231446303942685,0.0029673649882812213,0.00949552761960415
X2,0.008159749718172802,0.005451780332965171,0.010867719103380432
X6,0.008831665397645167,0.004712751941593916,0.012950578853696418
X7,0.009082213655687621,0.004560148943198387,0.013604278368176854
X12,0.009321746680461703,0.005768567659680229,0.012874925701243177
X11,0.009741417079875653,0.006962754892058233,0.012520079267693074
X5,0.011989373702638514,0.009050969385665731,0.014927778019611294
X14,0.013709945410399261,0.008717176215864535,0.018702714604933987
X13,0.014485519721574443,0.009429263322055695,0.01954177612109319
X18,0.016047864651618733,0.00961780912717395,0.02247792017606352
X4,0.01679064733055286,0.013130228364410383,0.02045106629669534
X16,0.016891295531784374,0.010852854613324765,0.02292973645024398
X0,0.019243643778022918,0.013943841032361896,0.02454344652368394
X8,0.021500090356574013,0.008076467491040207,0.03492371322210781
X1,0.0221867901036435,0.013277607758234791,0.031095972449052208
X3,0.023699305179435512,0.012452745746260848,0.03494586461261018
X10,0.024821515090383384,0.007180986603986176,0.042462043576780586
X25,0.03106034279119615,0.023403231663417998,0.038717453918974305
X24,0.03365103966105032,0.023256905566828585,0.04404517375527206
X23,0.13455615317411196,0.11220074279386319,0.1569115635543607
X21,0.1485215012211836,0.11966983094995505,0.17737317149241216
X20,0.19174882875471916,0.16560587680341793,0.21789178070602044
X22,0.19748817833800753,0.17311044034535933,0.22186591633065567
