Feature,Mean Importance,Lower Bound,Upper Bound
X9,0.0002990725400266674,-8.400805827987902e-06,0.0006065458858813227
X19,0.0017788682685458647,-2.958354249427955e-05,0.003587320079586009
X3,0.002058681549199191,0.001272543535746813,0.0028448195626515696
X17,0.002546641906578044,0.0005481846660491483,0.004545099147106939
X6,0.0027312603167896736,0.0017599916726547314,0.003702528960924616
X15,0.0031813751742678824,0.0016873762318667697,0.004675374116668995
X7,0.0032685408651686684,0.0019199355278636935,0.004617146202473643
X2,0.004274285760497853,0.0013015634942518143,0.007247008026743893
X1,0.005845534539427736,0.0021486177480643017,0.00954245133079117
X0,0.006386629941841556,0.0016234395378167297,0.011149820345866382
X10,0.008944822482187146,0.0034742374324604345,0.014415407531913855
X4,0.010246590586761289,0.0035171637529738033,0.016976017420548776
X8,0.01152277896501315,0.0050509595158442664,0.017994598414182033
X14,0.012593663607538653,0.005515903334392084,0.01967142388068522
X13,0.015381777834934877,0.00542364906060312,0.025339906609266633
X11,0.01667251157323824,0.006156740106040105,0.02718828304043637
X12,0.022952001323742477,0.005929126551647741,0.03997487609583721
X5,0.03929484494965317,0.01641823665848259,0.06217145324082376
X18,0.05620975184667077,0.021584955849893967,0.09083454784344758
X20,0.06162213571158555,0.03957709390028337,0.08366717752288771
X16,0.06479091418837626,0.012156829416935189,0.11742499895981734
X22,0.0661477853627353,0.04836131856872514,0.08393425215674548
X21,0.07061399090649212,0.04963539607580906,0.09159258573717516
X23,0.11549326031772156,0.08783521301157206,0.14315130762387107
X24,0.18019065890586144,0.139198880904349,0.22118243690737388
X25,0.21495162057514483,0.1209900905090873,0.3089131506412024
