Feature,Mean Importance,Lower Bound,Upper Bound
X12,0.0,0.0,0.0
X28,0.0,0.0,0.0
X2,2.1788231328922313e-06,2.5562562418411476e-07,4.102020641600348e-06
X29,6.049809750683958e-06,-2.4900136919956005e-06,1.4589633193363516e-05
X23,6.988969573734518e-06,-6.341358954392544e-06,2.031929810186158e-05
X6,7.478959976676737e-06,7.127229301771844e-07,1.424519702317629e-05
X4,7.522940812023144e-06,-7.883332935523996e-06,2.2929214559570282e-05
X24,1.086236328334661e-05,2.3452128618727497e-06,1.937951370482047e-05
X20,1.3948587698498884e-05,-2.4121518058071896e-05,5.201869345506967e-05
X7,1.5858681116887507e-05,6.8206510714797136e-06,2.48967111622953e-05
X13,1.8608651131474553e-05,-1.837412307294774e-05,5.5591425335896844e-05
X11,2.0783965579154523e-05,-6.456477614456407e-06,4.802440877276545e-05
X16,2.1833199982728788e-05,-1.3719747749245872e-06,4.5038374740382156e-05
X14,2.2292456763370063e-05,-1.9377566667852945e-05,6.396248019459307e-05
X5,2.2777810301426674e-05,-5.441668896636356e-06,5.09972894994897e-05
X25,4.045460999096738e-05,1.0444325744311618e-05,7.046489423762314e-05
X10,4.8088711922235164e-05,3.5275810421226067e-06,9.264984280234773e-05
X3,5.804196763187177e-05,-9.466359405087347e-06,0.00012555029466883088
X18,7.128266230307992e-05,1.095431551524968e-05,0.00013161100909091016
X9,7.346493074818805e-05,-3.154500165478208e-05,0.00017847486315115819
X19,0.0001569594388791753,-1.0317791846938791e-05,0.0003242366696052894
X8,0.00015843252629664365,4.2959674458688436e-05,0.00027390537813459884
X22,0.00027378911109055736,-1.864824389474541e-05,0.0005662264660758602
X15,0.0002897862215958846,-0.00024718085826148646,0.0008267533014532556
X26,0.0005186574066924203,0.00021017906807807658,0.000827135745306764
X17,0.0007250881336708626,0.00022265588508136965,0.0012275203822603557
X0,0.0008954335083167473,2.5024102218481546e-05,0.001765842914415013
X21,0.0012800493890098453,0.00027159526311944866,0.002288503514900242
X27,0.004174452307312964,-0.00014142606592877703,0.008490330680554704
X1,0.010819404431441219,-0.012434578717888679,0.034073387580771115
X30,0.018500751543307298,0.0031480130906278306,0.033853489995986766
X31,0.04686718169995448,0.024803832387627775,0.06893053101228117
X34,0.050152732456466995,0.007807438264127782,0.0924980266488062
X35,0.05345734570882719,0.015728648378190744,0.09118604303946362
X33,0.0986797097344123,0.015777220132838495,0.1815821993359861
X32,0.7125817082810262,0.5973185331861788,0.8278448833758736
