Feature,Mean Importance,Lower Bound,Upper Bound
data square quantile.square.0%,0.0,0.0,0.0
diff orig mean.square,0.0,0.0,0.0
data abs quantile.square.0%,0.0,0.0,0.0
diff square quantile.square.0%,0.0,0.0,0.0
residual orig sum.identity,0.0,0.0,0.0
residual orig sum.square,0.0,0.0,0.0
residual orig mean.identity,0.0,0.0,0.0
residual orig mean.square,0.0,0.0,0.0
data square quantile.identity.0%,0.0,0.0,0.0
residual square quantile.square.0%,0.0,0.0,0.0
diff abs quantile.square.0%,5.03771103106198e-07,-1.002106300566135e-06,2.0096485067785306e-06
diff square quantile.identity.0%,1.0865799747619508e-05,-2.1731599495239006e-05,4.346319899047802e-05
residual abs mean.log,0.00015487740210474673,-0.00016707802352121072,0.00047683282773070424
data square quantile.square.75%,0.0001849025587663075,-4.392377830902696e-05,0.00041372889584164195
residual abs mean.square,0.00020566294167363052,-0.0001805398867023845,0.0005918657700496456
residual abs quantile.log.75%,0.00023218754786812794,-6.37372389729456e-05,0.0005281123347092015
data abs quantile.square.25%,0.0002784044223600076,-0.00017265737310428103,0.0007294662178242962
data square mean.identity,0.0002934618000484817,-8.102359896020472e-05,0.0006679471990571681
residual square quantile.sqrt.25%,0.00032715786007101854,-8.683315146854078e-05,0.0007411488716105778
data abs quantile.identity.75%,0.00035776319174088433,-0.00027147335147867553,0.0009869997349604442
data abs mean.identity,0.00035978320182746313,-0.0001756220529881673,0.0008951884566430936
diff abs quantile.identity.50%,0.0003614349562921214,-9.813471026105935e-05,0.0008210046228453021
residual abs mean.sqrt,0.00036185001882392277,-0.0003017676546825482,0.0010254676923303937
residual abs quantile.identity.50%,0.0003638998304472049,-0.00011002632805867164,0.0008378259889530815
diff orig quantile.sqrt.75%,0.0003650142371919649,-0.00021523947797810774,0.0009452679523620376
residual square quantile.square.50%,0.00036632524078288313,-0.00020448391104206098,0.0009371343926078273
data abs quantile.log.50%,0.0003670520892349853,-0.00011816591467451764,0.0008522700931444882
residual square quantile.square.25%,0.00038144117051024047,-0.00025519871413301823,0.001018081055153499
data abs mean.log,0.00038379657074748047,-0.00037922722757527253,0.0011468203690702336
residual abs quantile.square.0%,0.00038430092714275836,-6.830992275894154e-05,0.0008369117770444583
residual abs quantile.square.50%,0.00038863703777750687,-8.961015957473303e-05,0.0008668842351297467
data abs mean.sqrt,0.0003924899022418016,-0.00014935885131811603,0.0009343386558017192
data square quantile.sqrt.25%,0.0004002130968743315,-0.00014288300540191091,0.0009433091991505739
data abs quantile.square.75%,0.000400603695118995,-0.0004567263487146937,0.0012579337389526837
data square quantile.identity.25%,0.0004138824093246948,-0.00012743373045429274,0.0009551985491036824
residual square quantile.square.75%,0.0004181829652330273,-0.00013135315077913038,0.0009677190812451851
data abs quantile.square.50%,0.00041877042749575603,6.154430900075892e-05,0.0007759965459907532
