Feature,Mean Importance,Lower Bound,Upper Bound
X13,0.0021752312298697935,0.0009789817843261304,0.0033714806754134566
X11,0.0021947610275773214,0.0011233702668644202,0.0032661517882902223
X10,0.0025849175426411438,0.00126661781822779,0.0039032172670544975
X5,0.0029128328544835358,0.001368548689035274,0.0044571170199317976
X4,0.003198102469340525,0.001830909431544569,0.004565295507136481
X9,0.003484201703688132,0.002165290971112634,0.004803112436263631
X8,0.003966775301175514,0.0015159945230583034,0.006417556079292726
X17,0.004618105242149096,0.0031441153824542717,0.006092095101843921
X7,0.004667415872097024,0.0005825703552358864,0.008752261388958162
X16,0.004817114187539481,0.0028826050772229966,0.006751623297855967
X6,0.005369369242065545,0.0004962978354501987,0.01024244064868089
X14,0.005500305424138244,0.0010117428119203284,0.009988868036356159
X2,0.005652364366213745,0.0023193097383115914,0.0089854189941159
X3,0.006547420204487146,0.002366558312136271,0.010728282096838022
X15,0.008965658444321612,0.0012976820009508866,0.016633634887692338
X1,0.009055532219173303,0.0020068989737118273,0.01610416546463478
X0,0.010188161577121385,0.0008415839647187731,0.019534739189523996
X12,0.011388496755888582,0.004420204393849235,0.01835678911792793
X18,0.012350444704878349,0.005742079834953987,0.018958809574802712
X25,0.044578011106712424,0.032010409337915414,0.057145612875509434
X26,0.049097714788068285,0.03360914406378948,0.06458628551234709
X19,0.057893435189089314,0.04405440497070996,0.07173246540746867
X27,0.06872860533339614,0.04878973238817178,0.08866747827862051
X24,0.06979913048002426,0.047490030876564754,0.09210823008348376
X23,0.08546840724095434,0.028961551396652373,0.14197526308525632
X21,0.09245410592582215,0.06054803193610382,0.12436017991554049
X28,0.10094257365615487,0.07306855189437855,0.1288165954179312
X22,0.10910847515821788,0.05792380909059355,0.1602931412258422
X20,0.2122923307527109,0.14449194760377237,0.2800927139016494
