Feature,Mean Importance,Lower Bound,Upper Bound
X183,0.0,0.0,0.0
X161,0.0,0.0,0.0
X49,0.0,0.0,0.0
X158,0.0,0.0,0.0
X54,0.0,0.0,0.0
X58,0.0,0.0,0.0
X155,0.0,0.0,0.0
X154,0.0,0.0,0.0
X64,0.0,0.0,0.0
X65,0.0,0.0,0.0
X67,0.0,0.0,0.0
X190,0.0,0.0,0.0
X77,0.0,0.0,0.0
X79,0.0,0.0,0.0
X184,0.0,0.0,0.0
X163,0.0,0.0,0.0
X149,0.0,0.0,0.0
X146,0.0,0.0,0.0
X145,0.0,0.0,0.0
X95,0.0,0.0,0.0
X100,0.0,0.0,0.0
X103,0.0,0.0,0.0
X104,0.0,0.0,0.0
X107,0.0,0.0,0.0
X188,0.0,0.0,0.0
X113,0.0,0.0,0.0
X139,0.0,0.0,0.0
X138,0.0,0.0,0.0
X137,0.0,0.0,0.0
X124,0.0,0.0,0.0
X136,0.0,0.0,0.0
X87,0.0,0.0,0.0
X166,0.0,0.0,0.0
X66,0.0,0.0,0.0
X13,0.0,0.0,0.0
X181,0.0,0.0,0.0
X213,0.0,0.0,0.0
X209,0.0,0.0,0.0
X39,1.3528187122859288e-05,1.0305778700882815e-06,2.6025796375630292e-05
X31,1.5766986155374176e-05,-4.3176273224756435e-06,3.5851599633223994e-05
X81,1.7440408840632927e-05,-1.657203024563838e-06,3.653802070582969e-05
X14,1.9683275401144514e-05,-9.528703300404464e-06,4.8895254102693495e-05
X208,2.650976694264745e-05,-5.8307043262108694e-06,5.885023821150577e-05
X42,2.910651182600858e-05,-2.9054850616523324e-05,8.726787426854049e-05
X121,2.990793255632018e-05,-1.6009354837542018e-05,7.582521995018238e-05
X167,3.185713330934123e-05,-2.6453511745917637e-05,9.01677783646001e-05
X203,3.359372150611799e-05,-1.3431199380182073e-05,8.061864239241805e-05
X198,3.508970200827191e-05,-1.4403114981730608e-05,8.458251899827444e-05
X105,3.8396318129256746e-05,-3.276628087022104e-05,0.00010955891712873453
X185,3.873310787907737e-05,5.998111152550772e-06,7.146810460560396e-05
X173,3.880792372655672e-05,-1.6893881866946447e-05,9.45097293200599e-05
X111,4.1630069490032875e-05,-3.07860082668472e-06,8.633873980675049e-05
X55,4.240221597159171e-05,-8.11821761534551e-06,9.292264955852893e-05
X177,4.656857512969315e-05,-6.091623243959638e-06,9.922877350334593e-05
X117,5.1579706894926724e-05,-3.841003939795936e-05,0.00014156945318781282
X48,5.301160837619359e-05,-1.3952087081761613e-07,0.0001061627376232048
X75,5.4323491685304194e-05,-2.9077726750000182e-05,0.00013772471012060857
X207,5.8785820242831095e-05,-5.5613627458787094e-05,0.0001731852679444493
X46,5.9210645140355414e-05,-3.678658064322543e-05,0.00015520787092393625
X193,6.024013680271649e-05,-3.9758658577686405e-05,0.00016023893218311937
X19,6.0829806835675145e-05,-1.1305959764794001e-05,0.0001329655734361443
X97,6.226965336668969e-05,-4.28888670995911e-05,0.0001674281738329705
X90,6.382969241364083e-05,-3.396067299206057e-05,0.00016162005781934224
X200,6.693858665551772e-05,-5.239799138121086e-06,0.00013911697244915652
X195,7.512201314404444e-05,-6.597985483399432e-06,0.0001568420117714883
X63,7.927825285789156e-05,-5.306764472242812e-05,0.00021162415043821125
X130,7.988839347691893e-05,-4.540132786410799e-05,0.00020517811481794582
X196,8.159796706598178e-05,-8.528391175667842e-05,0.0002484798458886419
X143,8.48987096691837e-05,-8.371492930325689e-06,0.00017816891226869313
X72,8.548118024980348e-05,-1.9102250622084285e-05,0.00019006461112169124
X174,8.636531299680559e-05,-6.613722726232186e-06,0.00017934434871984338
X116,8.668153479121639e-05,-1.9498069292449195e-05,0.00019286113887488198
X159,9.516400972896481e-05,-3.5453055369062865e-05,0.00022578107482699246
