Feature,Mean Importance,Lower Bound,Upper Bound
X20,0.013537538740864385,0.012529003835271767,0.014546073646457006
X0,0.013697324711048764,0.011945102977587057,0.01544954644451047
X19,0.013892624398456888,0.012243304510288662,0.015541944286625115
X1,0.01395206153732726,0.011779402504086685,0.016124720570567838
X34,0.01671994850986451,0.015206660596973159,0.018233236422755858
X35,0.01688153612553247,0.01562866716620071,0.018134405084864226
X29,0.016998487214701152,0.015193698684601364,0.018803275744800944
X28,0.01722907272039629,0.015288106546630945,0.019170038894161634
X23,0.021736604375777985,0.018581392483795103,0.024891816267760866
X21,0.02422138736428257,0.02098381997402267,0.02745895475454247
X26,0.02517254726886637,0.020217405165344735,0.030127689372388
X30,0.025269517281812034,0.020587822408943413,0.029951212154680655
X25,0.02633357042989716,0.022689075628550708,0.02997806523124362
X8,0.026412766986983117,0.022598217908620637,0.030227316065345598
X14,0.027189746731283427,0.022905354617715715,0.03147413884485114
X33,0.027361270168345875,0.023006738440251216,0.031715801896440535
X5,0.027808108107935714,0.024673711584022918,0.030942504631848507
X12,0.028319013070729968,0.02270629677533086,0.03393172936612907
X24,0.028333436170964836,0.023776961278578694,0.032889911063350985
X27,0.028359398686270583,0.023930323090775644,0.03278847428176552
X4,0.02836991296176667,0.022014194155071873,0.03472563176846147
X32,0.02846728238139444,0.022635436097112605,0.034299128665676276
X9,0.028467406610783876,0.023820683482706734,0.03311412973886101
X2,0.028490230608408402,0.02439556299195706,0.03258489822485974
X10,0.029054734964291215,0.025752746770482476,0.032356723158099954
X22,0.02970181982439149,0.025143902561491682,0.0342597370872913
X11,0.030883291101012036,0.026088353991822924,0.03567822821020115
X6,0.03146236179717342,0.024146258673726516,0.03877846492062033
X13,0.03167970736874097,0.027243969726776576,0.03611544501070536
X31,0.03261942928636488,0.02712698834023792,0.03811187023249185
X3,0.03333596584049114,0.02525084632633915,0.041421085354643124
X7,0.035485305712498125,0.028399622300959868,0.04257098912403638
X17,0.04532760362233598,0.0389573836751841,0.051697823569487864
X15,0.04627574045811757,0.039893196323163654,0.05265828459307148
X16,0.048427614206124694,0.04181492474347656,0.05504030366877283
X18,0.052525632654763774,0.04586270267053062,0.05918856263899694
