Feature,Mean Importance,Lower Bound,Upper Bound
x14,0.0019875895391635165,0.000955997452630017,0.003019181625697016
x1,0.002016100025172644,0.0013168978868657356,0.002715302163479553
x7,0.0020169551754059996,0.0012598793831108518,0.0027740309677011473
x5,0.0021261286899310356,0.0009495954276772282,0.0033026619521848433
x3,0.0026912667848832065,0.0016292968074034897,0.003753236762362923
x13,0.00270732194045341,0.0012179866234851284,0.004196657257421693
x2,0.002743872137913025,0.0010930773773939189,0.004394666898432131
x17,0.0027995438014492904,0.0015021888285120814,0.004096898774386499
x19,0.002942853733696538,0.0012132630628744637,0.004672444404518612
x9,0.0029979159736270924,0.0017964936063587416,0.004199338340895444
x12,0.0033353952782925467,0.0015750904142774196,0.005095700142307674
x18,0.00367190463096177,0.0020872794163783242,0.005256529845545215
x6,0.0037335432163803275,0.001819048190252782,0.005648038242507873
x11,0.003783681118230568,3.978581814010956e-05,0.0075275764183210265
x15,0.004207655919694555,0.001719268474246537,0.006696043365142573
x10,0.0044893516820999155,0.0010470042427198638,0.007931699121479967
x16,0.004642929541817386,0.0010527796584621177,0.008233079425172655
x8,0.0046868848313466795,0.0005416207717572584,0.0088321488909361
x4,0.005302939651738747,0.002036211641416473,0.00856966766206102
x0,0.9371161663277416,0.9255773884264304,0.948654944229053
