Feature,Mean Importance,Lower Bound,Upper Bound
x6,0.004540014796592717,0.0023537987541762586,0.006726230839009175
x17,0.004667437515051096,0.0024891455078991298,0.006845729522203063
x8,0.004837753105960807,0.0035966334573057854,0.006078872754615829
x15,0.005251347932761307,0.0033179779782430818,0.007184717887279532
x7,0.005479221081524927,0.002648629215915587,0.008309812947134267
x12,0.005566329007367253,0.003302819738915972,0.007829838275818533
x5,0.005984842885108206,0.0031609608331236356,0.008808724937092777
x10,0.006066568176730067,0.003701569612744631,0.008431566740715503
x4,0.00608919625468225,0.004077402661322604,0.008100989848041897
x1,0.006136435215480688,0.003956144385578963,0.008316726045382413
x19,0.006232142982490868,0.0043292846213136525,0.008135001343668083
x3,0.006816191754990488,0.004497392938571866,0.009134990571409108
x11,0.006836254391162642,0.002392585217866218,0.011279923564459065
x13,0.007091406180548158,0.003994383278303634,0.010188429082792681
x16,0.007231582372581981,0.0027396580286335,0.011723506716530462
x14,0.007487472562027031,0.0034103471547656267,0.011564597969288435
x9,0.00776183775957787,0.003960969468337055,0.011562706050818685
x2,0.008049322345217382,0.003909194623326227,0.012189450067108537
x18,0.008292008048524705,0.004892068315887574,0.011691947781161838
x0,0.8795826356316196,0.859372835345779,0.8997924359174602
