Feature,Mean Importance,Lower Bound,Upper Bound
x7,0.011659022841449542,0.0068562110646730005,0.016461834618226083
x13,0.011928474985568111,0.004794979284802134,0.019061970686334088
x2,0.012334769685858775,0.007257792486786329,0.01741174688493122
x11,0.013559525472677872,0.0053143686433649116,0.021804682301990834
x18,0.014443095956044722,0.007497034381851479,0.021389157530237964
x3,0.014945135290553954,0.00696527883786957,0.022924991743238338
x5,0.015173097191532411,0.007186567376431055,0.023159627006633765
x4,0.015271102474888273,0.008350257025691133,0.022191947924085412
x9,0.015880811282858825,0.007301383535692705,0.024460239030024943
x14,0.016352591399905747,0.005728441962974293,0.0269767408368372
x15,0.016672739409540543,0.005172603340966798,0.028172875478114288
x10,0.017070914619328317,0.006917767705457565,0.027224061533199072
x12,0.01793052273044337,0.008676337765419605,0.02718470769546713
x1,0.018100841652542728,0.008622593405840429,0.02757908989924503
x16,0.01828763260938508,0.006584834257014718,0.029990430961755438
x8,0.01925035577664147,-0.0021211479819407686,0.04062185953522371
x6,0.02085292838318585,0.008479014328614157,0.033226842437757545
x17,0.023593685157111542,0.011027383213902045,0.03615998710032104
x19,0.03724255842811912,0.000609172126872717,0.07387594472936551
x0,0.6694501946523638,0.5550570263737318,0.7838433629309958
