Feature,Mean Importance,Lower Bound,Upper Bound
X43,0.0,0.0,0.0
X42,0.0,0.0,0.0
X53,4.37896373542485e-05,-2.0985739937379722e-05,0.00010856501464587672
X52,6.125000341913478e-05,-2.9507465040778625e-05,0.0001520074718790482
X45,0.0005140143072464393,-8.73251099388172e-05,0.0011153537244316955
X23,0.0007976445241437782,-0.00010218431315292965,0.001697473361440486
X13,0.0008596967399765751,0.00019746013548852903,0.0015219333444646214
X12,0.0009083301479662337,-9.395516587245949e-06,0.0018260558125197134
X22,0.0009104843237445653,-0.00033675416500161093,0.0021577228124907413
X54,0.0009884638979665706,-2.8337156467957077e-05,0.002005264952401098
X24,0.0010785151894995464,-0.000744028864516938,0.002901059243516031
X36,0.0016796756136741907,-0.0001343988988628679,0.0034937501262112497
X55,0.001839207218207959,-0.0005669886804572277,0.004245403116873146
X25,0.0021869484652469085,-0.0011111102054017212,0.005485007135895538
X16,0.002232854061593077,-0.00015878664222410263,0.004624494765410256
X21,0.002418092266186103,0.0007823422258977195,0.004053842306474487
X29,0.0025027577720673592,0.0012467638767991998,0.0037587516673355187
X26,0.002679299009138143,0.0006424562907650647,0.004716141727511221
X15,0.0027765108701031127,-0.0006760744450001114,0.006229096185206336
X28,0.002992001933618064,0.0008977521389657384,0.00508625172827039
X19,0.0031420122523815957,0.000768053576047419,0.005515970928715772
X27,0.003223688084934278,0.0009526098922909375,0.005494766277577618
X56,0.003270091162245435,0.0017656135517953584,0.004774568772695512
X14,0.003551519335505252,-0.0014354798349243904,0.008538518505934895
X18,0.0035653177404451073,0.0013525926840947452,0.005778042796795469
X17,0.003585220965252459,0.0011674297856020428,0.006003012144902876
X44,0.003623611251559476,-0.0003814211615831704,0.007628643664702122
X57,0.0038548469053312304,0.0026298684003646937,0.005079825410297767
X11,0.0045110195163337845,0.0011340240066775376,0.007888015025990031
X59,0.004542907379829089,0.0031919443132064212,0.005893870446451757
X51,0.004828520194248101,0.002847004817567357,0.006810035570928845
X48,0.0048819379696348406,0.0012529775810428353,0.008510898358226847
X46,0.006024063022218007,0.0019329773320062942,0.010115148712429719
X6,0.006273273298959736,3.234799071231325e-05,0.012514198607207157
X58,0.006300225167399457,0.0020964615212649487,0.010503988813533965
X49,0.006314847451383269,0.002592750880219102,0.010036944022547435
X3,0.00678046012432562,0.0036968158703875966,0.009864104378263645
X5,0.011230964114763492,0.005048562857513667,0.017413365372013316
X20,0.015735281293663163,0.009278480828120439,0.022192081759205888
X50,0.01596978122617091,0.008693632319076851,0.023245930133264966
X37,0.016253029510642242,0.008898218942905243,0.023607840078379246
X10,0.01773061901285505,0.012146855263085135,0.023314382762624965
X33,0.019414985852514055,0.012289943058997641,0.026540028646030465
X40,0.02064546166714764,0.01107161097220939,0.03021931236208589
X35,0.02433061528907891,0.009736690466857965,0.03892454011129985
X47,0.02451775809803286,0.011718235737306817,0.0373172804587589
X41,0.026472394800466002,0.013944648812045022,0.03900014078888698
X38,0.02697769787059702,0.009697439250894453,0.04425795649029958
X2,0.027793812770304908,0.014834229776620172,0.04075339576398965
X34,0.02993909994116576,0.01700493457347073,0.04287326530886079
X7,0.03003740736248875,0.014835250677670405,0.0452395640473071
X8,0.03055154689385914,0.012344564279383467,0.04875852950833481
X0,0.03778262262577671,0.022690312402154203,0.05287493284939922
X9,0.039080780265689355,0.015327744218042567,0.06283381631333614
X4,0.054838858190519514,0.03172393323010055,0.07795378315093848
X1,0.061540437957418447,0.03517118195516111,0.08790969395967578
X30,0.07411401761085154,0.0409966973781488,0.10723133784355426
X39,0.09376048886534781,0.05891763281549604,0.1286033449151996
X31,0.0971129174937225,0.05656046621587507,0.13766536877156993
X32,0.09842632348378552,0.05962179758499937,0.13723084938257166
